dialogue1|dialogue2
3 2058 37 50 2058 37|7 463 16 395 15 463 16 8017 224 8292 37 11 353 4 344 224 1725 32 11 210 395 15 1621 324 224 5795 31
4 86 31|6 57 58 1719 4160 15 141 20 4476 1173 224 214 500 18 2617 31
4 86 31|1 124 31
1 11 316 45 6 320 7 14830 88 11 73 20 525 88 452 26 4 701 15 11 970 45 150 20 692 6|3 395 6 88 2 35 3458 525 31 53 6 40 35 1183 15 57 596 4 71 107 6 86 15 11 170 4787 244 35 1621 38 20 15801 4086 4148 38 94 97 40 35 1183 94 62 170 71 292 4086 4148 94 86 11 283 382 15 14769 15 177 249 35 1258 672 1357 75 35 657 6 37
2 204 15 16 349 21 4 44 24 249 20 4712 31|1 50 37 62 2 15 62 2 8 35 4716 31
3 643 37 29 19102 31 330 15 50 129 836 291 402 31 11 102 224 1211 88|6 129 45 16 458 126 112 47 15 88 2 70 20 10454 19103 4222 120 1269 31 120
5 191 15 533 348 11 21 22 48 31|7 53 15 114 6575 31 3936 40 244 16 31 44 16 60 102 177 461 3988 18 4 23 1587 37
1 120 228 15 6271 5911 11 228 15 199 318 5911 38 120 228 15 6271 5911|5 7086 15 40 35 1183 15 176 16 181 15 16 318 47 37
6 11 15 287 3988 32 903 6 97 6|2 54 15 33 62 2821 24 4 44 13 8445 6003 919 37
7 123 2643 4964 770 2143 429 464 75 4212 31|5 382 6 55 104 12 634 16 186 187 6
7 191 31 224 184 176 45 5 240 249 20 1665 31|2 382 15 408 31 177 170 62 13 224 1037 37 54 6 177 302 16 70 9 1667 1668 1669 37
2 53 114 221 6 88 2 1617 6|5 86 15 287 62 170 70 35 218 567 1174 15 32 62 33 45 869 31
2 10394 3903 28 31 16 15 16 284 1171 71 555 31 382 15 11 344 16 21 224 13434 74 31|7 191 15 114 1231 21 5500 31
3 382 31|5 382 31
1 382 6|7 382 6
4 172 15 254 129 16 18 37|7 11 3864 102 31
1 382 6|3 382 6
7 148 3118 384 230 31 148 62 322 23 2396 3897 27 460 1 31|4 16 38 7643 37
2 16 162 46 71 4 384 74 37|6 269 272 11 125 126 150 216 31
4 222 31|3 38 3960 1486 58 15 20 2763 58 194 14582 15 28 37
5 53 105 3915 46 4 384 6|6 53 235 6
7 53 15 1040 15 242 21 22 48 15 21 35 13368 75 4964 1267 31|5 53 97 97 97 97 15 97 97 97 97 97 97 15 16 344 15 50 11 87 2820 178 45 189
6 287 3861 35 3763 6 38 3861 162 410 6 91 15 320 3988 5306 242 210 154 31 8 553 71 35 554 15 54 31 392 37|2 54 15 320 62 1239 88 277 4 16
7 86 31 86 15 11 161 34 35 843 80 151 31|5 677 15 454 89 94 11 73 75 844 845 31
7 175 20 6171 13 35 6172 37 11 237 31|2 622 1332 4987 37
6 4384 283 37|7 7 1155 104 18584 18585 5947 75 18586 31 320 16 275 20 1598 1599 15 16 349
